"[00, 0]","[8.892, 14.331, 12.79, 323.996]"
"[01, 300]","[5.725, 5.304, 2.069, 149.647]"
"[01, 400]","[12.094, 0.0, 0.934, 0.0]"
"[01, 500]","[1.986, 88.28, 1.922, 1.902]"
"[01, 600]","[3.782, 4.255, 5.383, 155.563]"
"[02, 1000]","[0.476, 1.487, 0.0, 23.597]"
"[02, 1100]","[52.482, 2.428, 1.474, 1.924]"
"[02, 1200]","[1.945, 66.33, 1.927, 2.418]"
"[02, 600]","[3.319, 1.474, 0.937, 62.515]"
"[02, 700]","[0.0, 8.98, 0.0, 0.466]"
"[02, 800]","[0.474, 49.568, 0.471, 1.918]"
"[02, 900]","[4.95, 5.303, 148.415, 4.431]"
"[03, 1000]","[0.0, 0.0, 4.686, 0.0]"
"[03, 1100]","[0.907, 14.334, 0.934, 0.459]"
"[03, 1200]","[3.836, 98.139, 4.902, 4.415]"
"[03, 1300]","[0.0, 1.412, 0.0, 21.343]"
"[03, 1400]","[1.343, 1.413, 2.509, 80.221]"
"[03, 1500]","[73.157, 3.484, 0.959, 2.883]"
"[03, 1600]","[1.435, 3.355, 1.966, 48.481]"
"[03, 1700]","[0.487, 1.391, 25.523, 1.399]"
"[03, 1800]","[0.0, 0.917, 19.777, 0.493]"
"[03, 900]","[0.935, 0.0, 26.964, 0.0]"
"[04, 1220]","[7.555, 0.449, 0.0, 0.937]"
"[04, 1240]","[0.0, 0.0, 0.903, 0.0]"
"[04, 1320]","[0.0, 0.0, 2.324, 0.0]"
"[04, 1420]","[0.486, 0.0, 9.381, 0.0]"
"[04, 1440]","[0.93, 7.432, 0.0, 0.0]"
"[04, 1520]","[0.0, 0.0, 24.354, 0.918]"
"[04, 1540]","[42.537, 1.849, 3.769, 0.484]"
"[04, 1620]","[0.0, 0.0, 11.698, 0.0]"
"[04, 1640]","[0.941, 0.0, 0.0, 0.0]"
"[04, 1720]","[0.0, 4.214, 58.143, 0.963]"
"[04, 1740]","[0.0, 0.0, 0.0, 1.937]"
"[04, 1820]","[42.455, 1.398, 0.0, 0.95]"
"[04, 1840]","[24.45, 1.388, 0.502, 1.445]"
"[04, 1920]","[43.856, 0.926, 0.0, 1.957]"
"[04, 1940]","[0.0, 0.0, 0.0, 0.944]"
"[04, 2020]","[59.096, 2.872, 3.959, 1.439]"
"[04, 2040]","[0.0, 0.0, 0.0, 1.425]"
"[04, 2120]","[2.361, 1.429, 0.468, 30.371]"
"[04, 2140]","[0.0, 0.0, 0.482, 0.0]"
"[04, 2220]","[0.448, 1.39, 28.638, 1.441]"
"[04, 2320]","[14.285, 0.97, 0.488, 0.471]"
"[04, 2420]","[0.895, 0.0, 5.683, 0.0]"
"[05, 1540]","[1.41, 0.0, 0.0, 0.0]"
"[05, 1560]","[0.0, 0.0, 2.413, 0.0]"
"[05, 1640]","[0.0, 0.0, 0.0, 1.353]"
"[05, 1740]","[0.897, 6.057, 0.0, 0.452]"
"[05, 1760]","[0.482, 0.489, 0.0, 0.0]"
"[05, 1780]","[0.0, 0.0, 0.0, 3.773]"
"[05, 1840]","[10.184, 0.0, 0.0, 0.488]"
"[05, 1860]","[8.395, 0.0, 0.0, 0.0]"
"[05, 1880]","[13.891, 1.828, 0.0, 0.49]"
"[05, 1940]","[0.0, 0.0, 0.0, 10.228]"
