"[00, 0]","[53.856, 43.039, 1577.118, 54.111]"
"[01, 300]","[16.272, 1220.657, 16.088, 14.819]"
"[01, 400]","[0.0, 0.0, 0.0, 137.165]"
"[01, 500]","[19.181, 1330.881, 18.639, 15.15]"
"[01, 600]","[19.332, 12.419, 1266.203, 8.992]"
"[02, 1000]","[1.861, 2.654, 754.412, 3.132]"
"[02, 1100]","[12.071, 11.683, 10.358, 1066.362]"
"[02, 1200]","[5.822, 672.716, 2.56, 5.178]"
"[02, 600]","[338.528, 2.098, 2.499, 1.454]"
"[02, 700]","[1.823, 9.075, 9.096, 935.05]"
"[02, 800]","[4.426, 3.389, 855.22, 5.866]"
"[02, 900]","[12.77, 1238.537, 10.913, 19.105]"
"[03, 1000]","[494.478, 2.299, 0.0, 1.624]"
"[03, 1100]","[0.0, 377.974, 2.602, 0.0]"
"[03, 1200]","[1.741, 2.427, 2.681, 672.446]"
"[03, 1300]","[1023.247, 11.222, 15.541, 11.533]"
"[03, 1400]","[4.269, 4.666, 1020.847, 6.478]"
"[03, 1500]","[5.714, 5.677, 917.902, 4.128]"
"[03, 1600]","[639.437, 5.887, 2.522, 4.003]"
"[03, 1700]","[4.623, 4.158, 744.121, 3.916]"
"[03, 1800]","[0.644, 0.447, 232.9, 0.729]"
"[03, 900]","[0.0, 0.0, 35.626, 0.52]"
"[04, 1220]","[0.0, 0.447, 0.457, 15.728]"
"[04, 1320]","[0.0, 0.0, 72.589, 0.0]"
"[04, 1340]","[238.425, 0.545, 1.039, 0.614]"
"[04, 1420]","[49.416, 0.0, 0.0, 0.554]"
"[04, 1440]","[2.271, 0.449, 0.0, 169.454]"
"[04, 1520]","[406.177, 1.097, 0.534, 1.26]"
"[04, 1540]","[0.0, 0.0, 0.0, 6.728]"
"[04, 1620]","[3.307, 1.622, 489.625, 1.576]"
"[04, 1640]","[4.771, 4.566, 2.759, 617.076]"
"[04, 1720]","[0.0, 2.574, 677.108, 6.407]"
"[04, 1740]","[0.0, 0.0, 0.0, 13.122]"
"[04, 1820]","[6.976, 5.231, 878.238, 7.163]"
"[04, 1840]","[0.0, 0.0, 0.0, 14.794]"
"[04, 1920]","[4.727, 5.319, 8.775, 867.298]"
"[04, 1940]","[1.908, 293.113, 0.62, 0.554]"
"[04, 2020]","[5.268, 4.254, 879.895, 7.015]"
"[04, 2040]","[5.844, 0.0, 0.0, 0.0]"
"[04, 2120]","[531.205, 1.855, 0.948, 4.022]"
"[04, 2140]","[1.378, 0.0, 0.0, 0.0]"
"[04, 2220]","[1.463, 1.282, 2.145, 512.434]"
"[04, 2320]","[0.447, 0.976, 3.081, 363.353]"
"[04, 2420]","[0.0, 0.0, 68.948, 0.492]"
"[05, 1540]","[7.996, 0.0, 0.0, 0.0]"
"[05, 1560]","[0.0, 0.0, 0.452, 0.0]"
"[05, 1640]","[0.0, 18.095, 0.0, 0.0]"
"[05, 1660]","[0.0, 0.0, 0.0, 37.812]"
"[05, 1680]","[94.197, 0.0, 0.495, 0.455]"
"[05, 1740]","[7.914, 0.0, 0.0, 0.0]"
"[05, 1760]","[0.0, 91.476, 0.549, 0.0]"
"[05, 1780]","[2.364, 0.0, 0.0, 0.0]"
"[05, 1840]","[0.0, 97.739, 0.643, 0.0]"
"[05, 1860]","[1.523, 211.246, 0.496, 0.483]"
"[05, 1940]","[0.0, 1.659, 210.972, 1.21]"
"[05, 1960]","[1.823, 2.687, 1.189, 398.423]"
"[05, 1980]","[5.275, 0.447, 0.0, 0.487]"
"[05, 2040]","[0.0, 0.448, 2.943, 387.861]"
"[05, 2060]","[0.0, 78.682, 0.459, 0.972]"
"[05, 2140]","[3.188, 2.579, 3.59, 607.587]"
"[05, 2160]","[0.0, 0.45, 0.0, 199.216]"
"[05, 2240]","[2.506, 1.88, 656.881, 0.803]"
"[05, 2260]","[0.654, 2.295, 0.627, 426.863]"
"[05, 2280]","[0.0, 140.004, 0.0, 0.455]"
"[05, 2340]","[4.35, 3.429, 5.846, 753.805]"
"[05, 2360]","[0.0, 0.0, 22.788, 0.0]"
"[05, 2380]","[0.0, 0.929, 0.0, 0.0]"
"[05, 2440]","[0.8, 2.776, 3.842, 616.763]"
"[05, 2460]","[1.152, 0.454, 1.314, 291.434]"
"[05, 2480]","[0.0, 0.0, 0.943, 0.0]"
"[05, 2540]","[717.601, 3.066, 4.866, 6.161]"
"[05, 2560]","[0.496, 0.483, 0.0, 107.26]"
"[05, 2640]","[2.605, 0.962, 582.363, 4.108]"
"[05, 2660]","[0.0, 0.0, 3.923, 0.0]"
"[05, 2740]","[2.164, 270.726, 0.724, 0.769]"
"[05, 2840]","[1.405, 0.561, 1.079, 306.061]"
"[05, 2940]","[0.523, 0.0, 174.168, 0.546]"
"[05, 3040]","[0.0, 0.0, 0.0, 19.149]"
"[06, 1860]","[0.0, 0.472, 0.0, 0.0]"
