"[00, 0]","[354.3, 365.1, 1390.4, 424.8]"
"[01, 300]","[121.0, 92.3, 128.1, 1076.3]"
"[01, 400]","[9.7, 350.8, 17.0, 12.1]"
"[01, 500]","[122.0, 149.3, 1206.3, 167.8]"
"[01, 600]","[1129.8, 135.4, 126.2, 125.7]"
"[02, 1000]","[91.3, 86.9, 102.2, 1052.1]"
"[02, 1100]","[67.4, 65.7, 922.4, 70.0]"
"[02, 1200]","[20.7, 592.1, 24.7, 22.2]"
"[02, 600]","[38.3, 28.6, 41.3, 698.8]"
"[02, 700]","[148.1, 5.4, 6.1, 5.2]"
"[02, 800]","[79.8, 70.5, 936.4, 67.2]"
"[02, 900]","[78.4, 57.2, 913.0, 62.9]"
"[03, 1000]","[1.7, 0.0, 0.5, 47.7]"
"[03, 1100]","[541.7, 25.7, 32.9, 25.3]"
"[03, 1200]","[29.1, 33.1, 680.4, 38.8]"
"[03, 1300]","[55.3, 55.1, 63.4, 867.6]"
"[03, 1400]","[65.3, 825.1, 71.9, 58.3]"
"[03, 1500]","[36.6, 626.9, 43.3, 36.8]"
"[03, 1600]","[56.4, 52.7, 66.9, 886.6]"
"[03, 1700]","[22.0, 453.9, 24.3, 23.7]"
"[03, 1800]","[6.0, 3.9, 191.0, 6.0]"
"[03, 900]","[10.1, 14.2, 332.1, 14.0]"
"[04, 1220]","[120.9, 3.4, 3.9, 3.8]"
"[04, 1240]","[0.5, 8.4, 0.0, 0.5]"
"[04, 1320]","[0.0, 0.5, 1.0, 12.7]"
"[04, 1340]","[0.0, 0.0, 0.0, 1.9]"
"[04, 1420]","[6.1, 213.4, 10.0, 4.8]"
"[04, 1440]","[13.2, 12.0, 257.6, 9.9]"
"[04, 1520]","[375.8, 20.8, 14.1, 15.9]"
"[04, 1540]","[1.0, 0.0, 1.0, 26.2]"
"[04, 1620]","[22.4, 32.9, 566.5, 25.6]"
"[04, 1640]","[0.0, 0.9, 51.1, 0.6]"
"[04, 1720]","[543.4, 22.4, 16.4, 23.3]"
"[04, 1740]","[22.2, 22.9, 550.9, 26.1]"
"[04, 1820]","[18.2, 23.4, 25.7, 571.7]"
"[04, 1840]","[12.5, 15.3, 16.4, 348.4]"
"[04, 1920]","[62.6, 796.9, 52.5, 55.5]"
"[04, 1940]","[0.5, 0.0, 49.3, 0.5]"
"[04, 2020]","[22.1, 26.6, 30.8, 554.2]"
"[04, 2040]","[6.6, 213.3, 8.6, 4.6]"
"[04, 2120]","[22.7, 497.0, 23.3, 22.4]"
